Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Attribute4_1,Attribute5_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Attribute4_2,Attribute5_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Attribute4_3,Attribute5_3,Probability_3
Object59_4,Instance1,13,-15,40,729,638,0.38,Instance2,13,-20,40,90,398,0.26,Instance3,13,-6,40,346,560,0.36
Object60_4,Instance1,942,-33,40,48,467,0.4,Instance2,942,-6,40,256,968,0.41,Instance3,942,-24,40,518,250,0.19
Object61_4,Instance1,808,-10,140,776,967,0.36,Instance2,808,-19,140,700,922,0.17,Instance3,808,-16,140,428,921,0.48
Object62_4,Instance1,686,-40,20,737,519,0.61,Instance2,686,-5,20,76,47,0.05,Instance3,686,-18,20,538,850,0.35
Object63_4,Instance1,345,-48,150,202,728,0.39,Instance2,345,-10,150,259,947,0.33,Instance3,345,-48,150,595,180,0.28
Object64_4,Instance1,957,-28,50,603,342,0.43,Instance2,957,-5,50,206,940,0.38,Instance3,957,-30,50,674,425,0.19
Object65_4,Instance1,562,-28,190,633,150,0.34,Instance2,562,-24,190,529,733,0.27,Instance3,562,-47,190,879,384,0.39
Object66_4,Instance1,66,-47,80,154,11,0.53,Instance2,66,-21,80,834,262,0.19,Instance3,66,-31,80,445,970,0.28
Object67_4,Instance1,312,-33,120,100,855,0.97,Instance2,312,-19,120,821,97,0.01,Instance3,312,-13,120,123,80,0.02
Object68_4,Instance1,859,-39,100,436,583,0.98,Instance2,859,-22,100,865,644,0.01,Instance3,859,-40,100,177,382,0.0
Object69_4,Instance1,834,-2,50,283,357,0.81,Instance2,834,-15,50,576,342,0.14,Instance3,834,-21,50,522,721,0.05
Object70_4,Instance1,154,-31,150,140,961,0.99,Instance2,154,-17,150,314,979,0.0,Instance3,154,-47,150,168,231,0.01
Object71_4,Instance1,509,-27,150,347,399,0.04,Instance2,509,-8,150,914,53,0.39,Instance3,509,-35,150,587,665,0.57
Object72_4,Instance1,172,-41,160,580,155,0.38,Instance2,172,-10,160,361,249,0.12,Instance3,172,-9,160,527,300,0.5
Object73_4,Instance1,682,-11,10,127,399,0.24,Instance2,682,-26,10,904,634,0.42,Instance3,682,-33,10,714,943,0.34
Object74_4,Instance1,286,-5,130,414,552,0.49,Instance2,286,-24,130,402,170,0.1,Instance3,286,-1,130,569,348,0.41
Object75_4,Instance1,266,-48,40,338,69,0.24,Instance2,266,-37,40,240,37,0.39,Instance3,266,-33,40,554,206,0.37
Object76_4,Instance1,890,-46,130,976,220,0.33,Instance2,890,-34,130,625,758,0.31,Instance3,890,-29,130,344,538,0.35
Object77_4,Instance1,243,-25,130,359,939,0.62,Instance2,243,-3,130,508,625,0.27,Instance3,243,-30,130,364,270,0.11
Object78_4,Instance1,114,-9,200,900,232,0.09,Instance2,114,-39,200,217,671,0.87,Instance3,114,-48,200,884,353,0.04
Object79_4,Instance1,889,-38,200,948,766,0.54,Instance2,889,-21,200,841,532,0.4,Instance3,889,-1,200,298,557,0.06
Object80_4,Instance1,811,-21,150,466,551,0.4,Instance2,811,-48,150,769,358,0.49,Instance3,811,-30,150,366,679,0.11
Object81_4,Instance1,691,-11,120,402,653,0.03,Instance2,691,-32,120,338,405,0.96,Instance3,691,-3,120,667,498,0.0
Object82_4,Instance1,375,-46,180,409,815,0.37,Instance2,375,-24,180,882,841,0.34,Instance3,375,-22,180,682,56,0.29
Object83_4,Instance1,756,-38,110,501,223,0.77,Instance2,756,-17,110,168,338,0.06,Instance3,756,-49,110,946,384,0.17
Object84_4,Instance1,124,-5,150,911,590,0.09,Instance2,124,-17,150,321,238,0.11,Instance3,124,-11,150,386,692,0.79
Object85_4,Instance1,880,-37,110,279,467,0.58,Instance2,880,-27,110,182,217,0.19,Instance3,880,-37,110,547,631,0.23
Object86_4,Instance1,748,-40,40,233,842,0.46,Instance2,748,-33,40,236,449,0.17,Instance3,748,-32,40,856,38,0.37
Object87_4,Instance1,724,-6,90,274,49,0.63,Instance2,724,-5,90,399,555,0.08,Instance3,724,-48,90,297,151,0.29
Object88_4,Instance1,222,-25,110,980,930,0.1,Instance2,222,-1,110,841,513,0.0,Instance3,222,-40,110,695,163,0.89
Object89_4,Instance1,175,-22,20,894,889,0.34,Instance2,175,-47,20,798,224,0.22,Instance3,175,-2,20,899,144,0.44
Object90_4,Instance1,951,-14,200,153,643,0.42,Instance2,951,-14,200,439,895,0.12,Instance3,951,-12,200,438,773,0.46
Object91_4,Instance1,834,-9,40,711,311,0.52,Instance2,834,-7,40,783,242,0.14,Instance3,834,-39,40,882,561,0.34
Object92_4,Instance1,820,-22,130,200,442,0.94,Instance2,820,-9,130,512,232,0.02,Instance3,820,-44,130,694,878,0.04
Object93_4,Instance1,56,-5,40,694,22,0.71,Instance2,56,-38,40,645,751,0.04,Instance3,56,-44,40,278,8,0.25
Object94_4,Instance1,387,-48,90,603,557,0.96,Instance2,387,-37,90,738,85,0.03,Instance3,387,-11,90,674,315,0.01
Object95_4,Instance1,698,-4,110,600,778,0.98,Instance2,698,-19,110,246,972,0.02,Instance3,698,-43,110,743,666,0.01
Object96_4,Instance1,920,-18,160,953,106,0.26,Instance2,920,-36,160,725,185,0.31,Instance3,920,-43,160,21,657,0.43
Object97_4,Instance1,950,-30,120,825,962,0.54,Instance2,950,-28,120,397,525,0.16,Instance3,950,-24,120,586,545,0.3
Object98_4,Instance1,191,-39,160,188,788,0.58,Instance2,191,-35,160,275,805,0.25,Instance3,191,-7,160,426,796,0.17
Object99_4,Instance1,77,-5,130,57,868,0.04,Instance2,77,-30,130,800,40,0.59,Instance3,77,-35,130,775,72,0.37
Object100_4,Instance1,619,-17,180,974,426,0.94,Instance2,619,-35,180,674,312,0.05,Instance3,619,-46,180,289,242,0.01
Object101_4,Instance1,664,-36,90,491,904,0.04,Instance2,664,-9,90,536,76,0.4,Instance3,664,-37,90,589,407,0.56
Object102_4,Instance1,72,-49,20,858,702,0.87,Instance2,72,-11,20,912,311,0.04,Instance3,72,-1,20,694,390,0.08
Object103_4,Instance1,219,-12,10,205,418,0.11,Instance2,219,-14,10,999,380,0.44,Instance3,219,-46,10,920,341,0.45
Object104_4,Instance1,383,-50,130,49,360,0.83,Instance2,383,-36,130,913,251,0.16,Instance3,383,-47,130,538,690,0.01
Object105_4,Instance1,762,-29,50,5,967,0.21,Instance2,762,-30,50,805,343,0.27,Instance3,762,-12,50,626,569,0.52
Object106_4,Instance1,503,-24,100,870,332,0.44,Instance2,503,-44,100,475,406,0.35,Instance3,503,-13,100,405,284,0.21
Object107_4,Instance1,944,-43,30,38,601,0.67,Instance2,944,-8,30,575,466,0.12,Instance3,944,-11,30,986,915,0.21
Object108_4,Instance1,786,-35,40,700,773,0.55,Instance2,786,-30,40,549,123,0.08,Instance3,786,-34,40,656,952,0.37
Object109_4,Instance1,828,-33,170,941,440,0.93,Instance2,828,-24,170,961,590,0.02,Instance3,828,-43,170,353,921,0.06
Object110_4,Instance1,134,-11,90,345,404,0.2,Instance2,134,-1,90,787,216,0.08,Instance3,134,-2,90,785,279,0.71
Object111_4,Instance1,945,-32,80,543,995,0.3,Instance2,945,-5,80,546,192,0.62,Instance3,945,-4,80,647,490,0.07
Object112_4,Instance1,966,-49,140,707,694,0.36,Instance2,966,-50,140,807,281,0.08,Instance3,966,-12,140,238,993,0.56
Object113_4,Instance1,333,-18,80,214,873,0.08,Instance2,333,-7,80,39,618,0.76,Instance3,333,-33,80,776,692,0.16
Object114_4,Instance1,434,-3,150,733,726,0.52,Instance2,434,-8,150,506,316,0.06,Instance3,434,-28,150,838,594,0.42
Object115_4,Instance1,851,-33,190,484,69,0.86,Instance2,851,-14,190,677,3,0.06,Instance3,851,-37,190,974,887,0.08
Object116_4,Instance1,546,-34,150,397,64,0.76,Instance2,546,-38,150,954,193,0.01,Instance3,546,-16,150,58,632,0.23
Object117_4,Instance1,854,-13,40,171,87,0.94,Instance2,854,-47,40,751,665,0.05,Instance3,854,-13,40,372,497,0.01
Object118_4,Instance1,781,-43,200,942,706,0.74,Instance2,781,-19,200,91,946,0.24,Instance3,781,-8,200,592,553,0.02
Object119_4,Instance1,911,-38,160,60,976,0.31,Instance2,911,-8,160,657,500,0.05,Instance3,911,-46,160,951,476,0.65
Object120_4,Instance1,60,-33,190,28,731,0.07,Instance2,60,-1,190,465,53,0.26,Instance3,60,-2,190,404,39,0.67
Object121_4,Instance1,628,-8,160,22,275,0.18,Instance2,628,-43,160,496,855,0.03,Instance3,628,-36,160,58,715,0.79
Object122_4,Instance1,90,-33,200,630,486,0.17,Instance2,90,-1,200,521,75,0.82,Instance3,90,-15,200,312,516,0.02
Object123_4,Instance1,6,-29,160,262,748,0.71,Instance2,6,-21,160,849,85,0.04,Instance3,6,-44,160,15,715,0.25
Object124_4,Instance1,459,-37,130,435,630,0.93,Instance2,459,-2,130,2,703,0.02,Instance3,459,-16,130,468,81,0.05
Object125_4,Instance1,347,-24,180,8,285,0.44,Instance2,347,-39,180,895,759,0.12,Instance3,347,-26,180,250,228,0.44
Object126_4,Instance1,279,-25,170,585,799,0.66,Instance2,279,-42,170,525,600,0.07,Instance3,279,-16,170,208,213,0.26
Object127_4,Instance1,842,-31,180,40,97,0.71,Instance2,842,-11,180,84,489,0.11,Instance3,842,-2,180,873,31,0.18
Object128_4,Instance1,782,-16,80,882,81,0.59,Instance2,782,-3,80,512,392,0.18,Instance3,782,-15,80,84,349,0.23
Object129_4,Instance1,831,-32,160,16,346,0.99,Instance2,831,-25,160,472,509,0.0,Instance3,831,-36,160,795,334,0.0
Object130_4,Instance1,365,-41,160,350,277,0.1,Instance2,365,-13,160,914,399,0.68,Instance3,365,-13,160,884,813,0.22
Object131_4,Instance1,698,-47,120,980,156,0.1,Instance2,698,-24,120,109,724,0.86,Instance3,698,-18,120,753,401,0.04
Object132_4,Instance1,87,-12,190,967,944,0.69,Instance2,87,-37,190,676,275,0.27,Instance3,87,-22,190,36,330,0.03
Object133_4,Instance1,750,-14,120,214,705,0.7,Instance2,750,-26,120,395,974,0.04,Instance3,750,-17,120,372,959,0.26
Object134_4,Instance1,616,-26,110,508,943,0.92,Instance2,616,-1,110,754,409,0.07,Instance3,616,-2,110,459,998,0.01
Object135_4,Instance1,117,-29,20,610,602,0.42,Instance2,117,-29,20,353,355,0.29,Instance3,117,-36,20,924,344,0.29
Object136_4,Instance1,895,-46,120,623,716,0.75,Instance2,895,-17,120,290,993,0.08,Instance3,895,-29,120,101,80,0.17
Object137_4,Instance1,727,-1,110,524,662,0.25,Instance2,727,-37,110,511,497,0.11,Instance3,727,-6,110,349,305,0.64
Object138_4,Instance1,416,-44,190,770,427,0.5,Instance2,416,-15,190,773,609,0.36,Instance3,416,-24,190,835,287,0.14
Object139_4,Instance1,736,-5,200,282,653,0.32,Instance2,736,-3,200,858,631,0.66,Instance3,736,-15,200,783,296,0.02
Object140_4,Instance1,893,-14,100,613,401,0.16,Instance2,893,-6,100,713,513,0.37,Instance3,893,-30,100,952,433,0.47
Object141_4,Instance1,754,-18,150,319,515,0.42,Instance2,754,-8,150,57,513,0.19,Instance3,754,-26,150,680,417,0.4
Object142_4,Instance1,438,-40,150,439,570,0.26,Instance2,438,-16,150,701,313,0.27,Instance3,438,-32,150,945,730,0.47
Object143_4,Instance1,337,-26,10,246,542,0.22,Instance2,337,-6,10,99,254,0.5,Instance3,337,-49,10,843,183,0.28
Object144_4,Instance1,223,-39,120,960,155,0.56,Instance2,223,-4,120,491,495,0.08,Instance3,223,-48,120,105,903,0.36
Object145_4,Instance1,358,-35,130,911,493,0.23,Instance2,358,-26,130,399,754,0.39,Instance3,358,-25,130,475,706,0.37
Object146_4,Instance1,206,-33,60,873,755,0.12,Instance2,206,-2,60,789,717,0.48,Instance3,206,-27,60,963,703,0.41
Object147_4,Instance1,234,-40,60,455,918,0.71,Instance2,234,-3,60,377,32,0.21,Instance3,234,-20,60,301,367,0.08
Object148_4,Instance1,989,-23,170,631,765,0.27,Instance2,989,-47,170,773,61,0.3,Instance3,989,-43,170,383,416,0.43
Object149_4,Instance1,49,-30,180,587,356,0.2,Instance2,49,-2,180,288,925,0.45,Instance3,49,-38,180,120,938,0.35
Object150_4,Instance1,614,-42,120,727,72,0.18,Instance2,614,-46,120,127,495,0.14,Instance3,614,-37,120,321,755,0.67
Object151_4,Instance1,799,-16,120,933,668,0.0,Instance2,799,-39,120,730,426,0.28,Instance3,799,-29,120,786,95,0.72
Object152_4,Instance1,709,-50,20,968,109,0.65,Instance2,709,-37,20,905,676,0.07,Instance3,709,-29,20,527,753,0.29
Object153_4,Instance1,93,-8,180,999,309,0.48,Instance2,93,-23,180,943,346,0.07,Instance3,93,-22,180,71,738,0.44
Object154_4,Instance1,6,-40,130,632,324,0.31,Instance2,6,-7,130,723,177,0.66,Instance3,6,-8,130,566,661,0.03
Object155_4,Instance1,950,-20,130,19,178,0.76,Instance2,950,-3,130,914,941,0.16,Instance3,950,-19,130,629,666,0.07
Object156_4,Instance1,717,-40,160,870,982,0.65,Instance2,717,-40,160,407,582,0.28,Instance3,717,-4,160,129,174,0.07
Object157_4,Instance1,261,-20,200,820,652,0.11,Instance2,261,-9,200,818,982,0.84,Instance3,261,-7,200,287,231,0.04
Object158_4,Instance1,889,-46,120,793,631,0.27,Instance2,889,-41,120,519,538,0.28,Instance3,889,-4,120,508,21,0.45
Object159_4,Instance1,948,-43,150,862,769,0.71,Instance2,948,-26,150,909,397,0.08,Instance3,948,-50,150,684,654,0.2
Object160_4,Instance1,837,-48,10,938,582,0.03,Instance2,837,-17,10,16,822,0.97,Instance3,837,-10,10,262,998,0.0
Object161_4,Instance1,51,-47,100,372,100,0.89,Instance2,51,-48,100,562,88,0.03,Instance3,51,-28,100,57,710,0.09
Object162_4,Instance1,427,-26,110,262,130,0.95,Instance2,427,-29,110,154,908,0.03,Instance3,427,-48,110,671,941,0.02
Object163_4,Instance1,252,-15,10,257,138,0.67,Instance2,252,-7,10,867,870,0.22,Instance3,252,-35,10,896,890,0.11
Object164_4,Instance1,691,-39,140,658,127,0.56,Instance2,691,-35,140,225,995,0.19,Instance3,691,-21,140,391,593,0.25
Object165_4,Instance1,671,-21,110,679,608,0.95,Instance2,671,-48,110,371,747,0.02,Instance3,671,-36,110,635,103,0.04
Object166_4,Instance1,609,-3,90,936,273,0.1,Instance2,609,-1,90,1000,169,0.32,Instance3,609,-18,90,576,619,0.58
Object167_4,Instance1,127,-49,200,403,457,0.08,Instance2,127,-35,200,423,882,0.33,Instance3,127,-6,200,750,58,0.59
Object168_4,Instance1,602,-48,50,821,700,0.13,Instance2,602,-32,50,763,712,0.14,Instance3,602,-2,50,131,944,0.73
Object169_4,Instance1,979,-50,170,315,123,0.35,Instance2,979,-35,170,309,771,0.18,Instance3,979,-37,170,728,452,0.47
Object170_4,Instance1,95,-9,40,886,975,0.36,Instance2,95,-46,40,391,909,0.28,Instance3,95,-9,40,569,722,0.36
Object171_4,Instance1,123,-16,70,791,658,0.45,Instance2,123,-9,70,613,541,0.41,Instance3,123,-26,70,125,60,0.14
Object172_4,Instance1,412,-33,40,132,737,0.8,Instance2,412,-2,40,530,51,0.18,Instance3,412,-8,40,471,540,0.01
Object173_4,Instance1,806,-9,80,913,740,0.66,Instance2,806,-11,80,302,489,0.09,Instance3,806,-41,80,0,742,0.24
Object174_4,Instance1,400,-16,160,522,660,0.92,Instance2,400,-11,160,907,166,0.05,Instance3,400,-14,160,784,760,0.03
Object175_4,Instance1,308,-38,120,28,85,0.01,Instance2,308,-10,120,904,552,0.86,Instance3,308,-8,120,161,640,0.12
Object176_4,Instance1,439,-13,130,486,659,0.01,Instance2,439,-4,130,699,296,0.98,Instance3,439,-47,130,606,452,0.01
Object177_4,Instance1,944,-26,50,793,50,0.92,Instance2,944,-36,50,276,822,0.08,Instance3,944,-36,50,540,818,0.0
Object178_4,Instance1,882,-40,10,667,666,0.22,Instance2,882,-39,10,954,661,0.43,Instance3,882,-46,10,692,689,0.36
Object179_4,Instance1,750,-33,150,117,662,0.89,Instance2,750,-48,150,364,329,0.01,Instance3,750,-48,150,667,107,0.1
Object180_4,Instance1,643,-45,150,115,407,0.39,Instance2,643,-49,150,633,318,0.09,Instance3,643,-45,150,883,883,0.52
Object181_4,Instance1,924,-5,20,377,163,0.34,Instance2,924,-21,20,607,731,0.42,Instance3,924,-7,20,496,479,0.24
Object182_4,Instance1,849,-3,150,354,929,0.62,Instance2,849,-41,150,668,658,0.29,Instance3,849,-9,150,404,332,0.09
Object183_4,Instance1,253,-29,150,261,682,0.83,Instance2,253,-22,150,600,689,0.12,Instance3,253,-26,150,203,687,0.05
Object184_4,Instance1,686,-27,180,251,691,0.08,Instance2,686,-4,180,259,690,0.66,Instance3,686,-24,180,41,825,0.26
Object185_4,Instance1,500,-20,110,168,742,0.63,Instance2,500,-43,110,986,575,0.14,Instance3,500,-38,110,192,464,0.23
Object186_4,Instance1,400,-43,70,931,516,0.94,Instance2,400,-24,70,128,197,0.01,Instance3,400,-45,70,948,377,0.05
Object187_4,Instance1,189,-34,140,868,479,0.27,Instance2,189,-21,140,651,739,0.49,Instance3,189,-34,140,515,775,0.24
Object188_4,Instance1,956,-15,100,799,225,0.06,Instance2,956,-3,100,268,995,0.6,Instance3,956,-31,100,818,605,0.34
Object189_4,Instance1,389,-17,60,324,204,0.94,Instance2,389,-43,60,648,928,0.01,Instance3,389,-48,60,608,670,0.05
Object190_4,Instance1,579,-33,50,477,920,0.05,Instance2,579,-42,50,18,102,0.49,Instance3,579,-16,50,3,477,0.46
Object191_4,Instance1,416,-7,120,635,376,0.84,Instance2,416,-24,120,179,218,0.12,Instance3,416,-47,120,292,426,0.04
Object192_4,Instance1,967,-11,20,325,377,0.89,Instance2,967,-9,20,946,4,0.1,Instance3,967,-18,20,692,679,0.01
Object193_4,Instance1,386,-18,30,785,399,0.03,Instance2,386,-46,30,194,991,0.96,Instance3,386,-48,30,79,969,0.01
Object194_4,Instance1,977,-31,130,449,887,0.81,Instance2,977,-5,130,893,797,0.05,Instance3,977,-20,130,550,867,0.15
Object195_4,Instance1,713,-3,50,562,435,0.84,Instance2,713,-30,50,669,185,0.08,Instance3,713,-10,50,4,471,0.08
Object196_4,Instance1,874,-40,10,309,603,0.07,Instance2,874,-32,10,966,97,0.15,Instance3,874,-30,10,764,557,0.78
Object197_4,Instance1,745,-15,180,173,659,0.08,Instance2,745,-35,180,29,418,0.33,Instance3,745,-9,180,757,141,0.59
Object198_4,Instance1,566,-8,120,996,440,0.84,Instance2,566,-8,120,109,409,0.06,Instance3,566,-8,120,702,915,0.11
Object199_4,Instance1,545,-35,70,377,156,0.73,Instance2,545,-2,70,610,172,0.13,Instance3,545,-32,70,319,32,0.14
Object200_4,Instance1,546,-6,190,628,565,0.07,Instance2,546,-23,190,132,374,0.21,Instance3,546,-43,190,707,152,0.73
Object201_4,Instance1,967,-9,20,564,291,0.84,Instance2,967,-14,20,162,613,0.02,Instance3,967,-45,20,261,127,0.13
Object202_4,Instance1,171,-6,90,564,149,0.04,Instance2,171,-34,90,985,722,0.04,Instance3,171,-43,90,311,990,0.92
Object203_4,Instance1,91,-6,20,954,618,0.15,Instance2,91,-28,20,701,791,0.73,Instance3,91,-42,20,270,369,0.12
Object204_4,Instance1,129,-44,130,573,316,0.09,Instance2,129,-1,130,833,626,0.8,Instance3,129,-25,130,938,769,0.11
Object205_4,Instance1,484,-23,50,600,787,0.02,Instance2,484,-15,50,619,626,0.55,Instance3,484,-45,50,773,234,0.43
Object206_4,Instance1,230,-36,30,711,568,0.97,Instance2,230,-2,30,570,233,0.02,Instance3,230,-15,30,627,4,0.01
Object207_4,Instance1,41,-5,50,674,127,0.43,Instance2,41,-42,50,759,809,0.08,Instance3,41,-33,50,347,345,0.49
